"x","y","z","hora"
3919.64,5687.68,3937.68,8
3920.96,5691.52,3937.72,8
3919.86,5693.44,3937.71,8
3917.14,5685.76,3937.71,8
3915.86,5682.56,3938.06,8
3916.04,5677.44,3938.02,8
3914.88,5681.92,3938.02,8
3888.32,5659.52,3938.06,8
3881.1,5664,3938.06,8
3883.92,5661.44,3938.06,8
3904.96,5664.64,3937.9,8
3909.52,5668.48,3937.9,8
3914.88,5681.92,3937.9,8
3886,5662.72,3937.83,8
3893.36,5661.44,3937.79,8
3904.72,5664.64,3937.79,8
3914.88,5681.92,3937.91,8
3912.24,5672.32,3937.91,8
3911.56,5671.68,3937.91,8
3881.26,5665.92,3937.87,8
3851.96,5723.52,3937.87,8
3897.64,5661.44,3937.93,8
3914.72,5678.72,3937.93,6
3913.08,5672.96,3937.93,6
3909.56,5667.84,3937.93,6
3913.6,5675.52,3937.96,6
3914.56,5678.72,3937.96,6
3904.08,5664,3937.96,6
3899.12,5662.08,3937.92,6
3893.76,5661.44,3937.92,6
3908.88,5667.84,3937.92,6
3912.56,5674.24,3937.94,6
3914.64,5678.08,3937.91,6
3886.28,5664,3937.91,6
3896.32,5663.36,3937.93,6
3888.2,5662.08,3937.92,6
3891.78,5661.44,3937.92,6
3900.06,5664,3937.93,6
3913.28,5676.8,3937.93,6
3896.32,5663.36,3937.93,6
3881.8,5665.92,3938.05,6
3888.26,5663.36,3938.05,6
3896.32,5663.36,3938.05,6
3885.48,5664,3938.05,6
3900.56,5664.64,3937.93,6
3893.84,5663.36,3937.93,6
3891.88,5662.72,3938.05,6
3889.4,5663.36,3938.05,6
3906.84,5669.76,3937.84,6
3890.92,5663.36,3938.05,6
3893.84,5663.36,3938.05,6
3908.62,5670.4,3938.05,6
3911.7,5674.88,3937.93,6
3909.12,5671.04,3937.93,6
3892.68,5664.64,3938.01,6
3907.8,5670.4,3938.01,6
3906,5669.12,3937.91,6
3908.86,5671.68,3937.91,6
3902.4,5666.56,3937.91,6
3903.8,5679.36,3937.59,4
3897.32,5674.88,3937.59,4
3922.4,5729.28,3937.58,4
3918.8,5739.52,3937.51,4
3921.88,5731.2,3937.59,4
3919.68,5731.2,3937.51,4
3914.44,5743.36,3937.51,4
3913.42,5744,3937.52,4
3915,5742.72,3937.52,4
3919.58,5736.32,3937.52,4
3906.28,5747.84,3937.48,4
3914.44,5743.36,3937.48,4
3925.64,5697.92,3937.84,4
3929.54,5704.32,3937.84,4
3927.8,5706.24,3937.73,4
3928.84,5711.36,3937.73,4
3928.8,5717.12,3937.73,4
3923.48,5696.64,3937.89,4
3929.54,5704.32,3937.89,4
3925.12,5697.92,3937.89,4
3925.48,5698.56,3937.86,4
3914.5,5692.16,3937.86,4
3930.64,5719.68,3937.79,4
3928.78,5723.52,3937.79,4
3926.92,5726.08,3937.79,4
3925.96,5706.88,3937.85,2
3916.78,5730.56,3937.85,2
3927.84,5712,3937.85,2
3926.2,5719.68,3937.85,2
3927.4,5714.56,3937.88,2
3924.04,5708.8,3937.86,2
3924.44,5713.28,3937.86,2
3923.52,5705.6,3937.94,2
3919.4,5697.28,3937.91,2
3924.52,5705.6,3937.91,2
3923.52,5705.6,3937.91,2
3923.64,5721.6,3937.93,2
3925.04,5718.4,3937.93,2
3925.48,5708.8,3937.93,2
3916.72,5695.36,3937.92,2
3919.78,5697.92,3937.91,2
3922.44,5701.12,3937.91,2
3923.44,5712,3937.91,2
3923.84,5713.28,3937.91,2
3923.48,5728,3937.93,11
3929.84,5721.6,3937.93,11
3933.12,5708.16,3937.93,11
3929.32,5697.92,3937.84,11
3924.76,5727.36,3937.97,11
3928.84,5699.84,3937.79,11
3930.6,5704.96,3937.79,11
3928.48,5717.12,3937.79,11
3926.4,5724.16,3937.9,11
3929.96,5717.12,3937.9,11
3928.26,5703.04,3937.78,11
3928.8,5704.96,3937.78,11
3928.48,5717.12,3937.78,11
3928.72,5716.48,3937.95,11
3922.04,5726.08,3937.95,11
3929.54,5712,3937.95,11
3929.86,5701.12,3937.77,11
3931.4,5698.56,3937.77,11
3915.42,5669.12,3937.77,11
3906.36,5669.76,3937.96,11
3918,5669.76,3937.96,11
3929.36,5697.92,3937.96,11
3929.52,5696,3937.65,11
3929.36,5697.92,3937.65,11
3929.68,5690.88,3937.65,11
3929.8,5691.52,3937.64,11
3926.72,5704.32,3937.68,11
3922.16,5676.8,3937.7,11
3925.32,5680,3937.7,11
3929.8,5691.52,3937.7,11
3929.96,5694.08,3937.68,11
3929.8,5691.52,3937.68,11
3929.52,5689.6,3937.68,11
3927.4,5683.2,3937.72,11
3922.28,5676.8,3937.72,11
3920.28,5704.32,3937.84,1
3922.3,5712,3937.84,1
3921.34,5706.88,3937.84,1
3921.78,5708.16,3937.78,1
3890.08,5665.28,3937.59,1
3892.7,5666.56,3937.59,1
3893.24,5667.2,3937.59,1
3885.1,5663.36,3937.55,1
3888.54,5664.64,3937.55,1
3898.6,5672.32,3937.61,1
3891.64,5665.92,3937.61,1
3894.52,5669.76,3937.52,1
3889.84,5666.56,3937.48,1
3894.52,5669.76,3937.48,1
3874.8,5665.28,3937.48,1
3882.36,5664.64,3937.52,1
3879.88,5667.2,3937.52,1
3885.4,5667.84,3937.52,1
3888.4,5669.12,3937.52,1
3891.16,5667.84,3937.53,1
3875.76,5667.2,3937.51,1
3880.74,5667.2,3937.51,1
3885.6,5667.84,3937.51,1
3889.32,5669.12,3937.51,1
3894.6,5672.96,3937.51,1
3864.18,5676.8,3937.51,1
3887.56,5668.48,3937.52,1
3887.24,5670.4,3937.55,1
3890.76,5672.32,3937.55,1
3893.56,5674.24,3937.55,1
3883.88,5671.68,3937.53,1
3779.72,5596.16,3937.72,8
3773.28,5597.44,3937.53,8
3771.38,5603.84,3937.53,8
3768.56,5616,3937.9,8
3772.36,5601.28,3937.9,8
3773.58,5598.72,3937.9,8
3772.62,5600,3937.9,8
3777.32,5596.8,3937.9,8
3773.28,5600.64,3938.23,8
3772.7,5602.56,3938.23,8
3771.6,5607.68,3938.23,8
3772.16,5603.84,3938.23,8
3771.8,5604.48,3938.23,8
3771.96,5604.48,3938.31,8
3771.52,5608.32,3938.31,8
3771.56,5605.12,3938.31,8
3773.34,5600.64,3938.31,8
3775.92,5599.36,3938.53,8
3775.68,5600,3938.53,8
3776.46,5600,3938.53,8
3773.1,5603.84,3938.53,8
3775.38,5599.36,3938.53,8
3773.66,5602.56,3938.53,8
3772.36,5607.04,3938.53,8
3776.64,5532.16,3937.83,5
3786.4,5535.36,3937.83,5
3785.5,5534.72,3937.83,5
3782.88,5532.16,3937.83,5
3776.72,5528.96,3937.83,5
3787.16,5536,3937.83,5
3785.68,5534.72,3937.96,5
3769.94,5536,3938.03,5
3775.44,5530.88,3937.66,5
3778.4,5532.16,3937.66,5
3780.16,5532.16,3937.66,5
3769.78,5532.8,3937.66,5
3779.28,5532.8,3937.66,5
3769.94,5536,3937.66,5
3779.12,5532.16,3937.75,5
3777.56,5533.44,3937.89,5
3775.4,5533.44,3937.75,5
3772.46,5534.08,3937.75,5
3780.24,5533.44,3937.75,5
3776.72,5534.08,3937.75,5
3774.16,5534.08,3937.75,5
3781.56,5534.08,3937.81,5
3778.48,5533.44,3937.81,5
3772.84,5532.16,3937.81,5
3779.12,5532.16,3937.81,5
3774.56,5532.16,3937.81,5
3782.46,5534.72,3937.81,5
3780.08,5533.44,3937.34,5
3777.84,5534.08,3937.67,5
3774.72,5533.44,3937.5,5
3771.02,5534.72,3937.5,5
3781.62,5534.08,3937.5,5
3777.84,5534.08,3937.5,5
3764.56,5599.36,3937.61,2
3776.36,5585.92,3937.61,2
3779.56,5584.64,3937.38,2
3768,5587.84,3937.38,2
3773.02,5585.92,3937.38,2
3776.36,5585.92,3937.38,2
3767.1,5594.24,3937.38,2
3768.24,5590.4,3937.38,2
3767.44,5603.84,3937.43,2
3778.6,5585.28,3937.81,2
3768.88,5588.48,3937.81,2
3770.2,5587.84,3937.81,2
3784.44,5630.72,3939.01,10
3783.48,5626.24,3938.82,10
3785.76,5633.28,3938.82,10
3784.48,5628.8,3938.82,10
3786.04,5639.04,3938.82,10
3783.8,5608.96,3938.14,10
3775,5625.6,3938.14,10
3778.2,5624.32,3937.71,10
3777,5613.44,3937.71,10
3775.36,5616,3937.71,10
3776,5613.44,3937.71,10
3918.92,5672.96,3937.84,10
3918.12,5672.96,3937.92,10
3928,5696.64,3937.92,10
3926.36,5685.76,3937.72,10
3927.64,5689.6,3937.72,10
3928.12,5693.44,3937.72,10
3916,5674.88,3937.71,10
3927.34,5696.64,3937.71,10
3926.92,5687.04,3937.7,10
3927.8,5689.6,3937.7,10
3920.54,5678.72,3937.71,10
3916,5675.52,3937.71,10
3927.34,5696.64,3937.71,10
3914.04,5714.56,3937.7,10
3930,5700.48,3937.78,10
3930.32,5698.56,3937.78,10
3928.88,5702.4,3937.78,10
3919.24,5697.92,3937.73,10
3927.32,5692.16,3937.78,10
3925.96,5702.4,3937.78,10
3927.42,5697.28,3937.78,10
3925.96,5687.04,3937.72,10
3919.16,5678.08,3937.72,10
3924.36,5683.84,3937.72,10
3788,5524.48,3938.2,6
3780.72,5523.2,3938.2,6
3787.2,5523.84,3938.2,6
3780.92,5521.92,3938.2,6
3793.08,5526.4,3938.2,6
3790.36,5525.12,3938.2,6
3796.58,5526.4,3937.46,6
3774.96,5521.92,3938.19,6
3793.14,5525.76,3938.27,6
3791.06,5525.76,3938.27,6
3768.42,5534.08,3938.27,6
3782.84,5521.28,3937.5,6
3782.94,5525.12,3937.5,6
3792.64,5527.04,3937.5,6
3789.46,5524.48,3937.5,6
3788,5525.12,3937.5,6
3781.68,5523.2,3937.5,6
3777.4,5531.52,3937.39,6
3774.84,5530.24,3937.39,6
3771.18,5530.24,3937.39,6
3772,5531.52,3937.39,6
3770.8,5534.08,3937.39,6
3768.42,5534.08,3937.39,6
3785.04,5534.08,3938.18,6
3780.96,5532.16,3938.18,6
3783.94,5533.44,3938.18,6
3777.16,5531.52,3938.18,6
3782.1,5532.8,3938.18,6
3772.96,5531.52,3937.07,6
3777.4,5529.6,3937.07,6
3920.66,5694.72,3937.84,3
3928.1,5701.76,3937.88,3
3914.5,5692.16,3937.88,3
3929.8,5722.24,3937.82,3
3926.48,5726.72,3937.82,3
3929.28,5703.68,3937.82,3
3922.54,5696,3937.84,3
3929.3,5714.56,3937.73,3
3917.5,5694.72,3937.73,3
3925.74,5701.76,3937.77,3
3929.06,5712,3937.77,3
3928.86,5717.12,3937.71,3
3922.68,5728.64,3937.71,3
3923.6,5702.4,3937.77,3
3919.72,5697.92,3937.77,3
3924.08,5724.16,3937.76,3
3923.72,5726.72,3937.76,3
3921,5696,3937.77,3
3929.44,5714.56,3937.77,3
3920.48,5696,3937.77,3
3926.96,5723.52,3937.74,3
3924.84,5726.72,3937.74,3
3902.82,5692.8,3937.76,3
3925.44,5724.8,3937.76,3
3928.76,5713.28,3937.76,3
3918.76,5697.28,3937.88,3
3921.04,5699.2,3937.88,3
3922.86,5720.96,3937.9,3
3914.36,5731.2,3937.9,3
3922.8,5706.24,3937.9,3
3932.76,5717.12,3937.88,12
3922.92,5735.68,3937.77,12
3926.28,5733.12,3937.77,12
3915.12,5738.88,3937.76,12
3920.38,5736.96,3937.76,12
3932.76,5720.32,3937.81,12
3925.44,5733.76,3937.81,12
3919.64,5737.6,3937.81,12
3914.1,5696.64,3937.81,12
3931.98,5712,3937.89,12
3932.44,5722.24,3937.89,12
3924.48,5735.04,3937.89,12
3925.74,5730.56,3937.82,12
3925.32,5728.64,3937.82,12
3921.36,5697.28,3937.85,12
3925.28,5728.64,3937.89,12
3921.46,5731.84,3937.89,12
3774.48,5536,3937.35,3
3782.78,5532.8,3937.35,3
3782.22,5535.36,3937.35,3
3777,5537.28,3937.35,3
3780.44,5533.44,3937.35,3
3779.72,5536,3937.35,3
3771.6,5539.84,3937.68,3
3780.28,5536.64,3937.68,3
3777.14,5537.92,3937.51,3
3778.7,5537.28,3937.51,3
3781.92,5534.08,3937.51,3
3780.12,5536,3937.51,3
3775.96,5538.56,3937.51,3
3773.08,5541.12,3937.51,3
3780.28,5536.64,3937.51,3
3779.86,5535.36,3937.52,3
3781.4,5538.56,3937.52,3
3780.36,5602.56,3938.79,3
3777.58,5608.32,3938.79,3
3778.16,5607.04,3938.79,3
3916.76,5674.88,3938.22,9
3923.88,5679.36,3938.22,9
3928.16,5697.28,3938.22,9
3928.48,5702.4,3938.14,9
3928.16,5697.28,3938.14,9
3919.56,5676.16,3938.21,9
3922.02,5677.44,3938.21,9
3927.8,5703.68,3938.22,9
3929.48,5698.56,3938.22,9
3911.66,5674.24,3938.07,9
3927.28,5687.68,3938.07,9
3928.22,5694.08,3938.07,9
3928.22,5697.92,3937.95,9
3928.16,5697.28,3937.95,9
3916.64,5675.52,3937.95,9
3926.4,5702.4,3937.91,9
3927.62,5696.64,3937.91,9
3898.2,5674.88,3937.91,9
3918.24,5677.44,3937.89,9
3920.36,5678.72,3937.89,9
3927.62,5694.72,3937.89,9
3898.2,5674.88,3937.96,9
3919.44,5678.08,3937.92,9
3921.96,5680,3937.92,9
3896.48,5675.52,3937.83,9
3913.6,5676.16,3937.86,9
3917.68,5678.72,3937.86,9
3923.68,5685.76,3937.86,9
3914.9,5676.8,3937.86,9
3923.12,5685.12,3937.86,9
3925.4,5692.16,3937.86,9
3925,5700.48,3937.84,9
3925.6,5696,3937.84,9
3916.52,5678.08,3937.84,9
3924.4,5688.32,3937.83,9
3919.2,5680,3937.83,9
3922.04,5683.2,3937.83,9
3923.46,5692.8,3937.8,9
3917.3,5680.64,3937.78,9
3920,5683.84,3937.78,9
3923.46,5692.8,3937.78,9
3923.72,5697.28,3937.81,9
3922.5,5688.96,3937.8,9
3919.64,5683.2,3937.8,9
3923.46,5692.8,3937.78,9
3923.46,5692.8,3937.82,9
3923.64,5694.72,3937.82,9
3922.56,5688.96,3937.82,9
3775.2,5578.24,3938.05,12
3769.92,5580.16,3938.05,12
3775.94,5578.88,3938.05,12
3768.26,5578.88,3938.05,12
3774.32,5580.16,3938.05,12
3778.78,5587.84,3937.1,12
3769.12,5589.76,3937.54,12
3763.56,5591.68,3937.18,12
3771.6,5587.84,3937.18,12
3764.2,5595.52,3937.18,12
3777.04,5587.84,3937.18,12
3769.12,5589.76,3937.18,12
3763.96,5596.16,3937.12,12
3769.32,5589.12,3937.12,12
3773.36,5585.92,3937.12,12
3766.68,5591.68,3937.12,12
3771.8,5587.2,3937.12,12
3767.28,5590.4,3937.12,12
3913.28,5681.92,3937.87,5
3910.98,5675.52,3937.87,5
3912.5,5678.72,3937.87,5
3892.68,5664.64,3937.87,5
3896.04,5664.64,3937.87,5
3904.08,5667.84,3937.87,5
3911.02,5675.52,3937.88,5
3912.72,5679.36,3937.88,5
3890.5,5664.64,3937.86,5
3906.6,5669.76,3937.86,5
3898.34,5667.2,3937.72,5
3888.44,5666.56,3937.72,5
3865.72,5708.8,3937.72,5
3900.18,5669.76,3937.6,5
3903.36,5671.68,3937.6,5
3894.08,5668.48,3937.6,5
3910.28,5680,3937.6,5
3906.84,5674.88,3937.6,5
3911.68,5684.48,3937.6,5
3911.88,5694.08,3937.6,5
3908.12,5685.12,3937.87,5
3908.4,5676.16,3937.7,5
3908.12,5685.12,3937.71,5
3910.92,5680.64,3937.68,5
3904.84,5672.32,3937.65,5
3908.06,5675.52,3937.65,5
3894.4,5667.84,3937.71,5
3901.84,5670.4,3937.71,5
3893.7,5667.84,3937.7,5
3893.26,5669.76,3937.6,5
3896.24,5670.4,3937.6,5
3900.52,5673.6,3937.58,5
3908.16,5680.64,3937.58,5
3769.16,5539.2,3937.43,4
3766.34,5542.4,3937.43,4
3775.16,5536,3937.43,4
3768.22,5538.56,3937.43,4
3777.36,5536.64,3937.43,4
3776.76,5537.28,3937.43,4
3775.68,5537.28,3937.95,4
3775.16,5537.28,3937.95,4
3776.98,5537.28,3937.95,4
3772.94,5537.92,3937.95,4
3778.88,5535.36,3937.95,4
3777,5536.64,3937.95,4
3781.6,5533.44,3938.01,4
3784.8,5532.8,3938.01,4
3783.88,5532.16,3937.67,4
3780.14,5528.96,3937.67,4
3776.2,5534.72,3937.39,4
3771.58,5536,3937.39,4
3776.92,5534.72,3937.39,4
3774.56,5534.08,3937.39,4
3777.4,5534.08,3937.29,4
3771.56,5536.64,3937.29,4
3775,5533.44,3937.29,4
3772.88,5534.72,3937.29,4
3771.32,5536,3937.29,4
3772.44,5536.64,3937.29,4
3771.32,5536.64,3937.29,4
3773.42,5534.08,3937.29,4
3780.06,5534.72,3937.68,4
3777.7,5534.72,3937.68,4
3773.88,5534.08,3937.68,4
3773.36,5535.36,3937.68,4
3773.42,5534.08,3937.68,4
3774.78,5535.36,3937.68,4
3780.84,5534.72,3937.68,4
3773.2,5539.84,3937.47,4
3770.52,5539.84,3937.67,4
3773.2,5539.84,3937.76,4
3775.76,5535.36,3937.49,4
3773.68,5537.92,3937.49,4
3783.04,5532.8,3937.49,4
3769.96,5587.2,3937.24,1
3768.08,5591.68,3937.24,1
3769.88,5592.96,3937.24,1
3769.32,5596.8,3937.51,1
3769.68,5592.96,3937.51,1
3776.28,5585.28,3937.51,1
3769.88,5592.96,3937.51,1
3769.48,5589.12,3937.41,1
3770.98,5598.72,3937.41,1
3770.52,5596.8,3937.41,1
3769.88,5592.96,3937.41,1
3774.2,5586.56,3937.41,1
3773.52,5587.2,3937.41,1
3772.44,5591.04,3937.41,1
3778.36,5586.56,3937.91,1
3778.2,5587.2,3938.22,1
3775.78,5590.4,3938.22,1
3776.54,5587.2,3938.22,1
3773.98,5592.96,3938.22,1
3776.56,5589.12,3938.22,1
3782.42,5585.28,3938.22,1
3772.24,5557.76,3938.25,1
3766.48,5607.68,3938.03,11
3769.8,5608.96,3938.03,11
3770.48,5602.56,3938.03,11
3768.12,5605.12,3938.03,11
3770.38,5603.2,3938.03,11
3765.2,5617.28,3938.03,11
3766.88,5607.68,3938.03,11
3767.82,5620.48,3937.39,11
3767.16,5625.6,3937.39,11
3771.24,5619.2,3937.53,11
3774.52,5608.96,3937.56,11
3773.16,5617.28,3937.56,11
3773.66,5618.56,3937.56,11
3773.32,5622.4,3937.56,11
3774.36,5617.92,3937.56,11
3772.46,5621.12,3937.56,11
3776.08,5619.2,3938.35,11
3808.24,5621.12,3938.35,11
3775.96,5623.04,3938.35,11
3777.42,5623.68,3938.35,11
3776.04,5615.36,3938.35,11
3776.76,5617.28,3938.35,11
3780.28,5629.44,3937.89,11
3782.92,5623.04,3937.89,11
